Refererence set,Term,Preferred Term,Concept Id
Mål,Adequate elimination (finding),tilfredsstillande eliminasjon,11281000202107
Mål,Acid-base balance within reference range (finding),syre-base-balanse innanfor normalområdet,1148837002
Mål,Able to mobilize using mobility aids (finding),i stand til å mobilisera med hjelpemiddel,301570003
Mål,Effective family communication (finding),tilfredsstillande kommunikasjon med pårørande,14641000202103
Mål,Reduced drugs misuse (finding),redusert misbruk av legemiddel eller rusmiddel,416751004
Mål,Does comply with treatment (finding),etterlever behandling,386673006
Mål,Able to carry out daily routine (finding),i stand til å utføre daglige rutiner,716398003
Mål,Physically prepared to undergo surgery (finding),fysisk klargjord til operasjon,764816006
Mål,Experiences dignified dying (finding),opplever å gå en verdig død i møte,417541000202102
Mål,No thermal injury (situation),ingen termisk skade,1149349001
Mål,Able to perform shopping activities (finding),i stand til å utføre innkjøp,300719004
Mål,Good therapeutic response (finding),god respons på behandling,78469002
Mål,Finding of adequacy of dialysis (finding),adekvat dialyse,365399009
Mål,Increased self-care (finding),økt egenomsorg,11161000202105
Mål,No injury due to laser (situation),ingen laserskade,1141724004
Mål,Able to participate in care planning (finding),i stand til å delta i planlegging av helsehjelp,1137426009
Mål,Nervous system normal (finding),normalt nervesystem,302261000
Mål,Adequate digestive system function (finding),tilfredsstillende fordøyelsesfunksjon,497561000202100
Mål,Family able to participate in care planning (situation),pårørende i stand til å delta i planlegging av helsehjelp,1148840002
Mål,Adequate older adult development (finding),tilfredsstillande utvikling hos eldre vaksen,9581000202105
Mål,Adequately hydrated (finding),tilstrekkeleg hydrert,1144674006
Mål,Decreased grief (finding),redusert sorg,17001000202100
Mål,Sensation of pain reduced (finding),redusert smertefølelse,816133002
Mål,No complication of stoma (situation),ingen stomikomplikasjon,1157057008
Mål,Adequate sexual function (finding),tilfredsstillende seksuell funksjon,279011000202108
Mål,Health promoting behavior (finding),helsefremmende atferd,18191000202107
Mål,No postoperative pulmonary complication (situation),ingen postoperative lungekomplikasjonar,387911000202103
Mål,Normal infant feeding (finding),normal spiseatferd hos spedbarn,289148009
Mål,Able to breathe (finding),i stand til å puste,288848001
Mål,Ready for employment (finding),klar for å være i arbeid,68051000202102
Mål,High self-esteem (finding),høg sjølvkjensle,225504008
Mål,Multidisciplinary cooperation maintained (finding),tverrfaglig samarbeid ivaretatt,517841000202109
Mål,Physically well (finding),i fysisk fin form,1148974002
Mål,Improvement in acid-base balance (finding),betra syre-base-balanse,1144857008
Mål,Neurological status adequate (finding),tilfredsstillende nevrologisk status,278751000202103
Mål,Feces normal (finding),normal avføring,162089003
Mål,Decreased despair (finding),redusert fortvilelse,733818008
Mål,Caregiver has positive attitude (situation),positiv holdning hos omsorgsgiver,1149083004
Mål,Able to walk (finding),i stand til å gå,282144007
Mål,Electrolytes adequate (finding),tilfredsstillande elektrolyttnivå,278691000202104
Mål,Cares for self (finding),mestrer egenomsorg,707810004
Mål,No anemia present (situation),ingen anemi,860635002
Mål,Genitourinary tract normal (finding),normal tilstand i urogenitalsystemet,300561007
Mål,Able to use alarm system (finding),i stand til å bruke alarmsystem,16211000202105
Mål,Feeling calm (finding),føler seg rolig,102894008
Mål,No bleeding (situation),ingen blødning,1141705002
Mål,Improvement in level of depressed mood (finding),bedret depressivt stemningsleie,1137673006
Mål,Temperature normal (finding),normal kroppstemperatur,87273009
Mål,Improved behavior (finding),betra åtferd,15531000202107
Mål,No vomiting (situation),ikke noe oppkast,162062008
Mål,Warning signs for violence is identified (finding),førevarsel til valdeleg åtferd identifisert,347391000202104
Mål,Increased fluid intake (finding),auka væskeinntak,249480002
Mål,Effective community coping (finding),tilfredsstillende mestring i lokalsamfunnet,1366668004
Mål,Reduced level of agitation (finding),redusert agitasjon,1149155004
Mål,Musculoskeletal system normal (finding),normalt muskel- og skjelettsystem,1145525006
Mål,No heartburn (situation),ingen halsbrann,417481000202106
Mål,Able to communicate (finding),i stand til å kommunisere,288575003
Mål,Demonstrates knowledge of pregnancy (finding),viser kunnskap om svangerskap,1141696004
Mål,Absence of signs and symptoms of infection (situation),ingen tegn eller symptomer på infeksjon,397680002
Mål,Exclusively breastfed (finding),blir fullammet,1145307003
Mål,Good response to enteral nutrition (situation),god respons på enteral ernæring,1144549003
Mål,No pressure injury (situation),ingen trykksår,1157027004
Mål,Demonstrates knowledge of medication management (finding),viser kunnskap om legemiddelregime,397699006
Mål,No known allergy (situation),ingen kjent allergi,716186003
Mål,Adequate heart rate (finding),tilfredsstillende hjertefrekvens,297351000202107
Mål,Musculoskeletal system adequate (finding),tilfredsstillande muskel- og skjelettsystem,278741000202101
Mål,Able to obtain medication (finding),i stand til å skaffe legemiddel,715045000
Mål,Adequate blood pressure (finding),tilfredsstillande blodtrykk,15831000202109
Mål,Ready for enhanced spiritual well-being (finding),klar for betra åndeleg velvære,426533003
Mål,Able to perform personal care activity (finding),i stand til å utføre egenomsorg,284774007
Mål,Complies with fluid regime (finding),etterlever væskeregime,1156282007
Mål,No fatigue (situation),ingen fatigue,1141720008
Mål,Reduced level of anxiety (finding),redusert angst,1149156003
Mål,Self-mastery of daily living (finding),egenmestring i dagliglivet,11981000202102
Mål,Adequate sensory perception (finding),tilfredsstillende sensorisk persepsjon,278991000202106
Mål,Adequate activity level (finding),tilfredsstillande aktivitetsnivå,15411000202101
Mål,Appropriate disclosure of information about self (finding),sosialt akseptabel grad av åpenhet om seg selv,1145285005
Mål,Positive attitude towards care (finding),positiv holdning til helsehjelp,1149080001
Mål,Efficient emptying of urinary bladder (finding),effektiv blæretømming,300463007
Mål,Adequate knowledge of pressure ulcer prevention (finding),tilstrekkeleg kunnskap om førebygging av trykksår,17931000202109
Mål,Adequate acid-base balance (finding),tilfredsstillende syre-base-balanse,278771000202109
Mål,Assessment of signs and symptoms of urinary rentention (regime/therapy),vurdering av tegn og symptomer på urinretensjon,507831000202101
Mål,Good self-image (finding),godt selvbilde,225509003
Mål,No peripheral edema present (situation),ingen perifere ødemer,1141974008
Mål,Normal respiratory function (finding),normal funksjon i respirasjonssystem,22803001
Mål,Adequate peripheral vascular function (finding),tilfredsstillende perifer vaskulær funksjon,278921000202108
Mål,Ready for enhanced community coping (finding),klar for auka meistring i lokalsamfunnet,426049007
Mål,Complies with rehabilitation regime (finding),etterlever rehabiliteringsprogram,1156286005
Mål,Good caregiver child attachment (finding),god tilknytning mellom omsorgsgiver og barn,1148785005
Mål,Normal sense of position and movement (finding),normal kinestetisk sans,1144528004
Mål,Good recovery from abuse (finding),god recovery etter misbruk,1144534006
Mål,Demonstrates knowledge of drug abuse (finding),viser kunnskap om misbruk av rusmidler og legemidler,1144475001
Mål,Normal urinary system function (finding),normal funksjon i urinvegar,1149389007
Mål,No cerebrospinal fluid leak (situation),ingen lekkasje av cerebrospinalvæske,337621000202105
Mål,Does not misuse drugs (situation),misbruker ikkje lækjemiddel eller rusmiddel,228367002
Mål,Able to use verbal communication (finding),i stand til å kommunisera verbalt,288599003
